AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|PREFERRED_AFFIL_FLAG|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC13283097^BKC000000002^20160101_000000.^BKC0NA|BKC13283097^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC13319051^BKC000000012^20160101_000000.^BKC0NA|BKC13319051^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
BKC13348045^BKC000000021^20161201_000000.^BKC0NA|BKC13348045^BKC0NA|BKC000000021^BKC0NA||N|||2016-12-01|9999-12-31
BKC13423056^BKC000000002^20160101_000000.^BKC0NA|BKC13423056^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC13423076^BKC000000002^20160101_000000.^BKC0NA|BKC13423076^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC13468036^BKC000000017^20160101_000000.^BKC0NA|BKC13468036^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC13472054^BKC000000021^20161201_000000.^BKC0NA|BKC13472054^BKC0NA|BKC000000021^BKC0NA||N|||2016-12-01|9999-12-31
BKC13496191^BKC000000005^20160101_000000.^BKC0NA|BKC13496191^BKC0NA|BKC000000005^BKC0NA||N|||2016-01-01|9999-12-31
BKC13547050^BKC000000003^20160101_000000.^BKC0NA|BKC13547050^BKC0NA|BKC000000003^BKC0NA||N|||2016-01-01|9999-12-31
BKC13681016^BKC000000002^20160101_000000.^BKC0NA|BKC13681016^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC13829061^BKC000000020^20160701_000000.^BKC0NA|BKC13829061^BKC0NA|BKC000000020^BKC0NA||N|||2016-07-01|9999-12-31
BKC13874046^BKC000000002^20160101_000000.^BKC0NA|BKC13874046^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC13891076^BKC000000017^20160101_000000.^BKC0NA|BKC13891076^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC13913031^BKC000000002^20160101_000000.^BKC0NA|BKC13913031^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC13927051^BKC000000003^20160101_000000.^BKC0NA|BKC13927051^BKC0NA|BKC000000003^BKC0NA||N|||2016-01-01|9999-12-31
BKC13933035^BKC000000005^20160101_000000.^BKC0NA|BKC13933035^BKC0NA|BKC000000005^BKC0NA||N|||2016-01-01|9999-12-31
BKC13958031^BKC000000002^20160101_000000.^BKC0NA|BKC13958031^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14025022^BKC000000002^20160101_000000.^BKC0NA|BKC14025022^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14143067^BKC000000021^20161201_000000.^BKC0NA|BKC14143067^BKC0NA|BKC000000021^BKC0NA||N|||2016-12-01|9999-12-31
BKC14172021^BKC000000002^20160101_000000.^BKC0NA|BKC14172021^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14244011^BKC000000002^20160101_000000.^BKC0NA|BKC14244011^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14255047^BKC000000003^20160101_000000.^BKC0NA|BKC14255047^BKC0NA|BKC000000003^BKC0NA||N|||2016-01-01|9999-12-31
BKC14295106^BKC000000006^20160101_000000.^BKC0NA|BKC14295106^BKC0NA|BKC000000006^BKC0NA||N|||2016-01-01|9999-12-31
BKC14341013^BKC000000004^20160101_000000.^BKC0NA|BKC14341013^BKC0NA|BKC000000004^BKC0NA||N|||2016-01-01|9999-12-31
BKC14346074^BKC000000028^20161201_000000.^BKC0NA|BKC14346074^BKC0NA|BKC000000028^BKC0NA||N|||2016-12-01|9999-12-31
BKC14422043^BKC000000002^20160101_000000.^BKC0NA|BKC14422043^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14422053^BKC000000002^20160101_000000.^BKC0NA|BKC14422053^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14422063^BKC000000002^20160101_000000.^BKC0NA|BKC14422063^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14430064^BKC000000002^20160101_000000.^BKC0NA|BKC14430064^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14430074^BKC000000002^20160101_000000.^BKC0NA|BKC14430074^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC14730013^BKC000000004^20160101_000000.^BKC0NA|BKC14730013^BKC0NA|BKC000000004^BKC0NA||N|||2016-01-01|9999-12-31
