PRVGRP_AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC14255047^BKC38419014^20070801_000000.^BKC0NA|BKC14255047^BKC0NA|BKC38419014^BKC0NA||||2007-08-01|9999-12-31
BKC14295106^BKC21601011^20121203_000000.^BKC0NA|BKC14295106^BKC0NA|BKC21601011^BKC0NA||||2012-12-03|9999-12-31
BKC14341013^BKC20638015^20040401_000000.^BKC0NA|BKC14341013^BKC0NA|BKC20638015^BKC0NA||||2004-04-01|9999-12-31
BKC14346074^BKC42516018^20090701_000000.^BKC0NA|BKC14346074^BKC0NA|BKC42516018^BKC0NA||||2009-07-01|9999-12-31
BKC14422043^BKC47984015^20130101_000000.^BKC0NA|BKC14422043^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC14422053^BKC47984065^20150701_000000.^BKC0NA|BKC14422053^BKC0NA|BKC47984065^BKC0NA||||2015-07-01|9999-12-31
BKC14422063^BKC47984025^20150701_000000.^BKC0NA|BKC14422063^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC14430064^BKC47984015^20130101_000000.^BKC0NA|BKC14430064^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC14430074^BKC47984065^20150701_000000.^BKC0NA|BKC14430074^BKC0NA|BKC47984065^BKC0NA||||2015-07-01|9999-12-31
BKC14730013^BKC08082019^19890801_000000.^BKC0NA|BKC14730013^BKC0NA|BKC08082019^BKC0NA||||1989-08-01|9999-12-31
BKC14985013^BKC09439031^19970101_000000.^BKC0NA|BKC14985013^BKC0NA|BKC09439031^BKC0NA||||1997-01-01|9999-12-31
BKC15183061^BKC30792011^20120101_000000.^BKC0NA|BKC15183061^BKC0NA|BKC30792011^BKC0NA||||2012-01-01|9999-12-31
BKC15277043^BKC48445018^20130101_000000.^BKC0NA|BKC15277043^BKC0NA|BKC48445018^BKC0NA||||2013-01-01|9999-12-31
BKC15340131^BKC55218016^20160101_000000.^BKC0NA|BKC15340131^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC15382056^BKC21601011^19970101_000000.^BKC0NA|BKC15382056^BKC0NA|BKC21601011^BKC0NA||||1997-01-01|9999-12-31
BKC15525050^BKC52155018^20160101_000000.^BKC0NA|BKC15525050^BKC0NA|BKC52155018^BKC0NA||||2016-01-01|9999-12-31
BKC15629089^BKC34981011^20160101_000000.^BKC0NA|BKC15629089^BKC0NA|BKC34981011^BKC0NA||||2016-01-01|9999-12-31
BKC15705108^BKC21601011^20040101_000000.^BKC0NA|BKC15705108^BKC0NA|BKC21601011^BKC0NA||||2004-01-01|9999-12-31
BKC16165079^BKC37765031^20130401_000000.^BKC0NA|BKC16165079^BKC0NA|BKC37765031^BKC0NA||||2013-04-01|9999-12-31
BKC16212044^BKC55218016^20160101_000000.^BKC0NA|BKC16212044^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC16225106^BKC47984015^20130101_000000.^BKC0NA|BKC16225106^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC16225116^BKC47984045^20150701_000000.^BKC0NA|BKC16225116^BKC0NA|BKC47984045^BKC0NA||||2015-07-01|9999-12-31
BKC16279035^BKC00080029^19960401_000000.^BKC0NA|BKC16279035^BKC0NA|BKC00080029^BKC0NA||||1996-04-01|9999-12-31
BKC16394035^BKC47984015^20130101_000000.^BKC0NA|BKC16394035^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC16394055^BKC47984025^20150701_000000.^BKC0NA|BKC16394055^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC16494041^BKC01167013^20121001_000000.^BKC0NA|BKC16494041^BKC0NA|BKC01167013^BKC0NA||||2012-10-01|9999-12-31
BKC16783065^BKC29318021^20160201_000000.^BKC0NA|BKC16783065^BKC0NA|BKC29318021^BKC0NA||||2016-02-01|9999-12-31
BKC16784063^BKC29318021^20150201_000000.^BKC0NA|BKC16784063^BKC0NA|BKC29318021^BKC0NA||||2015-02-01|9999-12-31
BKC16913027^BKC47984015^20130101_000000.^BKC0NA|BKC16913027^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC16913037^BKC47984035^20150701_000000.^BKC0NA|BKC16913037^BKC0NA|BKC47984035^BKC0NA||||2015-07-01|9999-12-31
BKC16913047^BKC47984025^20150701_000000.^BKC0NA|BKC16913047^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC16956041^BKC00080029^20120423_000000.^BKC0NA|BKC16956041^BKC0NA|BKC00080029^BKC0NA||||2012-04-23|9999-12-31
BKC17221019^BKC01029014^19970101_000000.^BKC0NA|BKC17221019^BKC0NA|BKC01029014^BKC0NA||||1997-01-01|9999-12-31
BKC17282051^BKC34981011^20050501_000000.^BKC0NA|BKC17282051^BKC0NA|BKC34981011^BKC0NA||||2005-05-01|9999-12-31
BKC17355030^BKC43594015^20100614_000000.^BKC0NA|BKC17355030^BKC0NA|BKC43594015^BKC0NA||||2010-06-14|9999-12-31
BKC17429017^BKC25562019^19991216_000000.^BKC0NA|BKC17429017^BKC0NA|BKC25562019^BKC0NA||||1999-12-16|9999-12-31
BKC17454138^BKC55218016^20180101_000000.^BKC0NA|BKC17454138^BKC0NA|BKC55218016^BKC0NA||||2018-01-01|9999-12-31
BKC17496103^BKC00096025^20040701_000000.^BKC0NA|BKC17496103^BKC0NA|BKC00096025^BKC0NA||||2004-07-01|9999-12-31
BKC17530027^BKC30792011^20120101_000000.^BKC0NA|BKC17530027^BKC0NA|BKC30792011^BKC0NA||||2012-01-01|9999-12-31
BKC17572042^BKC38415011^20120801_000000.^BKC0NA|BKC17572042^BKC0NA|BKC38415011^BKC0NA||||2012-08-01|9999-12-31
BKC17585084^BKC38415011^20070801_000000.^BKC0NA|BKC17585084^BKC0NA|BKC38415011^BKC0NA||||2007-08-01|9999-12-31
BKC17603116^BKC34981011^20080714_000000.^BKC0NA|BKC17603116^BKC0NA|BKC34981011^BKC0NA||||2008-07-14|9999-12-31
BKC17606081^BKC55218016^20170301_000000.^BKC0NA|BKC17606081^BKC0NA|BKC55218016^BKC0NA||||2017-03-01|9999-12-31
BKC17607039^BKC30792011^20120701_000000.^BKC0NA|BKC17607039^BKC0NA|BKC30792011^BKC0NA||||2012-07-01|9999-12-31
BKC17666074^BKC47984065^20150701_000000.^BKC0NA|BKC17666074^BKC0NA|BKC47984065^BKC0NA||||2015-07-01|9999-12-31
BKC17679056^BKC00096025^20030729_000000.^BKC0NA|BKC17679056^BKC0NA|BKC00096025^BKC0NA||||2003-07-29|9999-12-31
BKC18049101^BKC49697019^20140215_000000.^BKC0NA|BKC18049101^BKC0NA|BKC49697019^BKC0NA||||2014-02-15|9999-12-31
BKC18057032^BKC55218016^20160101_000000.^BKC0NA|BKC18057032^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC18203026^BKC47984015^20130101_000000.^BKC0NA|BKC18203026^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC18203036^BKC47984065^20150701_000000.^BKC0NA|BKC18203036^BKC0NA|BKC47984065^BKC0NA||||2015-07-01|9999-12-31
BKC18203046^BKC47984025^20150701_000000.^BKC0NA|BKC18203046^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC18288065^BKC43594015^20171101_000000.^BKC0NA|BKC18288065^BKC0NA|BKC43594015^BKC0NA||||2017-11-01|9999-12-31
BKC18289033^BKC49491017^20140201_000000.^BKC0NA|BKC18289033^BKC0NA|BKC49491017^BKC0NA||||2014-02-01|9999-12-31
BKC18309121^BKC24595010^20031119_000000.^BKC0NA|BKC18309121^BKC0NA|BKC24595010^BKC0NA||||2003-11-19|9999-12-31
BKC18396012^BKC18129013^19920101_000000.^BKC0NA|BKC18396012^BKC0NA|BKC18129013^BKC0NA||||1992-01-01|9999-12-31
BKC18434029^BKC34981011^20050501_000000.^BKC0NA|BKC18434029^BKC0NA|BKC34981011^BKC0NA||||2005-05-01|9999-12-31
BKC18460068^BKC24587019^19970101_000000.^BKC0NA|BKC18460068^BKC0NA|BKC24587019^BKC0NA||||1997-01-01|9999-12-31
BKC18511096^BKC25562019^20150616_000000.^BKC0NA|BKC18511096^BKC0NA|BKC25562019^BKC0NA||||2015-06-16|9999-12-31
BKC18608022^BKC47984015^20130101_000000.^BKC0NA|BKC18608022^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC18608042^BKC47984025^20150701_000000.^BKC0NA|BKC18608042^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC18887125^BKC00096025^20030401_000000.^BKC0NA|BKC18887125^BKC0NA|BKC00096025^BKC0NA||||2003-04-01|9999-12-31
BKC18888023^BKC00080029^19960401_000000.^BKC0NA|BKC18888023^BKC0NA|BKC00080029^BKC0NA||||1996-04-01|9999-12-31
BKC18904089^BKC37765031^20140401_000000.^BKC0NA|BKC18904089^BKC0NA|BKC37765031^BKC0NA||||2014-04-01|9999-12-31
BKC19020049^BKC55218016^20160101_000000.^BKC0NA|BKC19020049^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC19105051^BKC37765031^20140401_000000.^BKC0NA|BKC19105051^BKC0NA|BKC37765031^BKC0NA||||2014-04-01|9999-12-31
BKC19213049^BKC47984015^20130101_000000.^BKC0NA|BKC19213049^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC19213059^BKC47984065^20150701_000000.^BKC0NA|BKC19213059^BKC0NA|BKC47984065^BKC0NA||||2015-07-01|9999-12-31
BKC19213069^BKC47984025^20150701_000000.^BKC0NA|BKC19213069^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC19402016^BKC01272016^19970101_000000.^BKC0NA|BKC19402016^BKC0NA|BKC01272016^BKC0NA||||1997-01-01|9999-12-31
BKC19511021^BKC30792011^20060701_000000.^BKC0NA|BKC19511021^BKC0NA|BKC30792011^BKC0NA||||2006-07-01|9999-12-31
BKC19533042^BKC19532014^19970101_000000.^BKC0NA|BKC19533042^BKC0NA|BKC19532014^BKC0NA||||1997-01-01|9999-12-31
BKC19554105^BKC38419014^20070801_000000.^BKC0NA|BKC19554105^BKC0NA|BKC38419014^BKC0NA||||2007-08-01|9999-12-31
BKC20050056^BKC55218016^20170301_000000.^BKC0NA|BKC20050056^BKC0NA|BKC55218016^BKC0NA||||2017-03-01|9999-12-31
BKC20119117^BKC47984015^20130101_000000.^BKC0NA|BKC20119117^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC20119127^BKC47984075^20150701_000000.^BKC0NA|BKC20119127^BKC0NA|BKC47984075^BKC0NA||||2015-07-01|9999-12-31
BKC20119137^BKC47984025^20150701_000000.^BKC0NA|BKC20119137^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC20133122^BKC47984015^20130101_000000.^BKC0NA|BKC20133122^BKC0NA|BKC47984015^BKC0NA||||2013-01-01|9999-12-31
BKC20133132^BKC47984035^20150701_000000.^BKC0NA|BKC20133132^BKC0NA|BKC47984035^BKC0NA||||2015-07-01|9999-12-31
BKC20133142^BKC47984025^20150701_000000.^BKC0NA|BKC20133142^BKC0NA|BKC47984025^BKC0NA||||2015-07-01|9999-12-31
BKC20447041^BKC23902020^20090701_000000.^BKC0NA|BKC20447041^BKC0NA|BKC23902020^BKC0NA||||2009-07-01|9999-12-31
BKC20518064^BKC55218016^20160101_000000.^BKC0NA|BKC20518064^BKC0NA|BKC55218016^BKC0NA||||2016-01-01|9999-12-31
BKC20664024^BKC21601011^20050301_000000.^BKC0NA|BKC20664024^BKC0NA|BKC21601011^BKC0NA||||2005-03-01|9999-12-31
BKC20701112^BKC49481011^20140201_000000.^BKC0NA|BKC20701112^BKC0NA|BKC49481011^BKC0NA||||2014-02-01|9999-12-31
BKC20743048^BKC42189018^20120904_000000.^BKC0NA|BKC20743048^BKC0NA|BKC42189018^BKC0NA||||2012-09-04|9999-12-31
BKC20853021^BKC01029014^20000901_000000.^BKC0NA|BKC20853021^BKC0NA|BKC01029014^BKC0NA||||2000-09-01|9999-12-31
BKC20896025^BKC01189024^20110701_000000.^BKC0NA|BKC20896025^BKC0NA|BKC01189024^BKC0NA||||2011-07-01|9999-12-31
