PROVIDER_ID|SPECIALTY_CD|EFFECTIVE_DT|TERM_DT
1912347790AA^EHI0NA|INTMED|1900-01-01|
1922061373AA^EHI0NA|INTMED|1995-01-01|
1922085539AC^EHI0NA|01|1995-01-12|
1922092394AC^EHI0NA|01|1977-07-01|
1922112523AA^EHI0NA|INTMED|1995-01-01|
1922159037AB^EHI0NA|INTMED|1988-09-15|
1932191863AB^EHI0NA|INTMED|2002-08-20|
1942640305AB^EHI0NA|01|1900-01-01|
1952309791AB^EHI0NA|01|1922-12-01|
1952314833AA^EHI0NA|01|2004-01-01|
1952394041AA^EHI0NA|01|1993-05-20|
1952411860AB^EHI0NA|01|1900-01-01|
1952411860AC^EHI0NA|01|1900-01-01|
1952440679AA^EHI0NA|01|1998-01-01|
1952715716AA^EHI0NA|01|1900-01-01|
1952741761AA^EHI0NA|INTMED|1900-01-01|
1962630434AA^EHI0NA|INTMED|2012-08-07|
1972529972AA^EHI0NA|INTMED|1989-09-13|
1972613297AA^EHI0NA|INTMED|2014-04-21|
1972694685AC^EHI0NA|01|1900-01-01|
1972751097AB^EHI0NA|INTMED|2010-09-16|
1972751097AC^EHI0NA|INTMED|2010-09-16|
1972942985AA^EHI0NA|INTMED|1900-01-01|
1982604369AA^EHI0NA|INTMED|1980-09-09|
1982714804AA^EHI0NA|01|1996-01-01|
1982831657AA^EHI0NA|01|1995-01-01|
1982895538AB^EHI0NA|01|2008-08-25|
1992018287AA^EHI0NA|01|1955-01-01|
1992727473AB^EHI0NA|01|1900-01-01|
1992739221AA^EHI0NA|01|2006-07-01|
BKC00903032^BKC0NA|01|1900-01-01|
BKC01784041^BKC0NA|GP|1900-01-01|
BKC01784051^BKC0NA|GP|1900-01-01|
BKC04364058^BKC0NA|01|1955-01-01|
BKC04552077^BKC0NA|INTMED|1955-01-01|
BKC04888087^BKC0NA|INTMED|1900-01-01|
BKC04957013^BKC0NA|01|1955-01-01|
BKC05175056^BKC0NA|INTMED|1955-01-01|
BKC05864065^BKC0NA|INTMED|1955-01-01|
BKC05917050^BKC0NA|01|1955-01-01|
BKC06553126^BKC0NA|01|1900-01-01|
BKC06622042^BKC0NA|INTMED|1955-01-01|
BKC06639027^BKC0NA|INTMED|1900-01-01|
BKC06870095^BKC0NA|01|1955-01-01|
BKC06906020^BKC0NA|INTMED|1955-01-01|
BKC07085038^BKC0NA|01|1955-01-01|
BKC07137074^BKC0NA|INTMED|1900-01-01|
